[2015-12-08 13:07:25.142] [ERROR] company_id_error - name is :上海琴系实业有限公司, company_id is null
[2015-12-08 13:07:25.142] [ERROR] company_id_error - name is :上海跨技实业有限公司, company_id is null
[2015-12-08 13:07:25.142] [ERROR] company_id_error - name is :上海凯桃实业有限公司, company_id is null
[2015-12-08 13:07:25.158] [ERROR] company_id_error - name is :上海滨迪实业有限公司, company_id is null
[2015-12-08 13:07:25.158] [ERROR] company_id_error - name is :上海海缪实业有限公司, company_id is null
[2015-12-08 13:07:25.158] [ERROR] company_id_error - name is :上海侗霞实业有限公司, company_id is null
[2015-12-08 13:07:25.158] [ERROR] company_id_error - name is :上海卉心实业有限公司, company_id is null
[2015-12-08 13:07:25.236] [ERROR] company_id_error - name is :上海戈侬实业有限公司, company_id is null
[2015-12-08 13:07:25.236] [ERROR] company_id_error - name is :上海旁帆实业有限公司, company_id is null
[2015-12-08 13:07:27.671] [ERROR] company_id_error - name is :上海礼博实业发展有限公司, company_id is null
[2015-12-08 13:07:27.687] [ERROR] company_id_error - name is :上海慈伊实业有限公司, company_id is null
[2015-12-08 13:07:27.734] [ERROR] company_id_error - name is :上海帆陆实业有限公司, company_id is null
[2015-12-08 13:07:32.133] [ERROR] company_id_error - name is :上海喆涛实业有限公司, company_id is null
[2015-12-08 13:09:23.504] [ERROR] company_id_error - name is :上海新台实业有限公司, company_id is null
[2015-12-08 13:09:23.504] [ERROR] company_id_error - name is :上海贤坦实业有限公司, company_id is null
[2015-12-08 13:09:23.504] [ERROR] company_id_error - name is :上海谦煌实业有限公司, company_id is null
[2015-12-08 13:09:23.522] [ERROR] company_id_error - name is :上海璞圣实业有限公司, company_id is null
[2015-12-08 13:09:23.524] [ERROR] company_id_error - name is :上海稳飞实业有限公司, company_id is null
[2015-12-08 13:09:23.540] [ERROR] company_id_error - name is :上海瑶瞬实业有限公司, company_id is null
[2015-12-08 13:09:23.540] [ERROR] company_id_error - name is :上海霖柜实业有限公司, company_id is null
[2015-12-08 13:09:23.555] [ERROR] company_id_error - name is :上海粒记实业有限公司, company_id is null
[2015-12-08 13:09:23.555] [ERROR] company_id_error - name is :上海里尘实业有限公司, company_id is null
[2015-12-08 13:09:23.555] [ERROR] company_id_error - name is :上海聚焉实业有限公司, company_id is null
[2015-12-08 13:09:23.555] [ERROR] company_id_error - name is :上海犇帅实业有限公司, company_id is null
[2015-12-08 13:09:23.573] [ERROR] company_id_error - name is :上海崇坡实业有限公司, company_id is null
[2015-12-08 13:09:23.589] [ERROR] company_id_error - name is :上海系榴实业有限公司, company_id is null
[2015-12-08 13:09:23.604] [ERROR] company_id_error - name is :上海花泰实业有限公司, company_id is null
[2015-12-08 13:09:23.678] [ERROR] company_id_error - name is :上海玉藏实业有限公司, company_id is null
[2015-12-08 13:09:23.688] [ERROR] company_id_error - name is :上海乾岚实业有限公司, company_id is null
[2015-12-08 13:09:23.700] [ERROR] company_id_error - name is :上海淤翔实业有限公司, company_id is null
[2015-12-08 13:09:23.703] [ERROR] company_id_error - name is :上海恭厚实业投资有限公司, company_id is null
[2015-12-08 13:09:23.706] [ERROR] company_id_error - name is :上海鹏皇实业有限公司, company_id is null
[2015-12-08 13:09:23.708] [ERROR] company_id_error - name is :上海顶欢实业有限公司, company_id is null
[2015-12-08 13:09:23.708] [ERROR] company_id_error - name is :上海融加实业发展有限公司, company_id is null
[2015-12-08 13:09:23.708] [ERROR] company_id_error - name is :上海牧义实业有限公司, company_id is null
[2015-12-08 13:09:23.824] [ERROR] company_id_error - name is :上海五恒实业有限公司, company_id is null
[2015-12-08 13:09:23.891] [ERROR] company_id_error - name is :上海勋驭实业有限公司, company_id is null
[2015-12-08 13:09:24.023] [ERROR] company_id_error - name is :上海乾岚实业有限公司, company_id is null
[2015-12-08 13:09:24.023] [ERROR] company_id_error - name is :上海勋驭实业有限公司, company_id is null
[2015-12-08 13:09:24.023] [ERROR] company_id_error - name is :上海贤坦实业有限公司, company_id is null
[2015-12-08 13:09:24.038] [ERROR] company_id_error - name is :上海淤翔实业有限公司, company_id is null
[2015-12-08 13:09:24.038] [ERROR] company_id_error - name is :上海恭厚实业投资有限公司, company_id is null
[2015-12-08 13:09:24.038] [ERROR] company_id_error - name is :上海玉藏实业有限公司, company_id is null
[2015-12-08 13:09:24.038] [ERROR] company_id_error - name is :上海鹏皇实业有限公司, company_id is null
[2015-12-08 13:09:24.104] [ERROR] company_id_error - name is :上海新台实业有限公司, company_id is null
[2015-12-08 13:09:24.122] [ERROR] company_id_error - name is :上海璞圣实业有限公司, company_id is null
[2015-12-08 13:09:24.124] [ERROR] company_id_error - name is :上海崇坡实业有限公司, company_id is null
[2015-12-08 13:09:24.523] [ERROR] company_id_error - name is :上海卓纳实业有限公司, company_id is null
