[2015-12-06 18:36:47.654] [ERROR] company_id_error - name is :上海可莘贸易有限公司, company_id is null
[2015-12-06 18:36:47.683] [ERROR] company_id_error - name is :上海同莘贸易有限公司, company_id is null
[2015-12-06 18:36:47.784] [ERROR] company_id_error - name is :上海壁裕贸易有限公司, company_id is null
[2015-12-06 18:37:19.738] [ERROR] company_id_error - name is :上海晟范贸易经营部, company_id is null
[2015-12-06 18:37:19.872] [ERROR] company_id_error - name is :上海奕杜贸易有限公司, company_id is null
[2015-12-06 18:37:19.943] [ERROR] company_id_error - name is :上海丽允贸易有限公司, company_id is null
[2015-12-06 18:37:21.275] [ERROR] company_id_error - name is :芙泺迩国际贸易（上海）有限公司, company_id is null
[2015-12-06 18:37:21.365] [ERROR] company_id_error - name is :优看国际贸易（上海）有限公司, company_id is null
[2015-12-06 18:37:23.130] [ERROR] company_id_error - name is :上海芷瑶贸易有限公司, company_id is null
[2015-12-06 18:37:23.221] [ERROR] company_id_error - name is :上海易涣贸易有限公司, company_id is null
[2015-12-06 18:37:23.303] [ERROR] company_id_error - name is :上海训驰贸易有限公司, company_id is null
[2015-12-06 18:37:23.338] [ERROR] company_id_error - name is :上海率高贸易有限公司, company_id is null
[2015-12-06 18:37:23.342] [ERROR] company_id_error - name is :上海统萃贸易有限公司, company_id is null
[2015-12-06 18:37:23.396] [ERROR] company_id_error - name is :上海谷天贸易有限公司, company_id is null
[2015-12-06 18:37:23.402] [ERROR] company_id_error - name is :上海恭汇贸易有限公司秋月路店, company_id is null
[2015-12-06 18:37:23.491] [ERROR] company_id_error - name is :上海反刍贸易有限公司, company_id is null
[2015-12-06 18:37:23.510] [ERROR] company_id_error - name is :上海纯真贸易有限公司, company_id is null
[2015-12-06 18:37:23.518] [ERROR] company_id_error - name is :上海初得贸易有限公司, company_id is null
[2015-12-06 18:37:23.558] [ERROR] company_id_error - name is :上海橙训贸易有限公司, company_id is null
[2015-12-06 18:37:23.571] [ERROR] company_id_error - name is :上海贝煜贸易有限公司, company_id is null
[2015-12-06 18:37:23.671] [ERROR] company_id_error - name is :上海百斌贸易有限公司, company_id is null
[2015-12-06 18:37:23.691] [ERROR] company_id_error - name is :上海暗宙贸易有限公司, company_id is null
[2015-12-06 18:37:25.258] [ERROR] company_id_error - name is :上海竹涛贸易有限公司, company_id is null
[2015-12-06 18:37:25.320] [ERROR] company_id_error - name is :上海禹橙贸易有限公司, company_id is null
[2015-12-06 18:37:25.417] [ERROR] company_id_error - name is :上海永诸贸易有限公司, company_id is null
[2015-12-06 18:37:25.442] [ERROR] company_id_error - name is :上海瑶敢贸易有限公司, company_id is null
[2015-12-06 18:37:25.467] [ERROR] company_id_error - name is :上海雁市贸易有限公司, company_id is null
[2015-12-06 18:37:25.544] [ERROR] company_id_error - name is :上海鸣赞贸易有限公司, company_id is null
[2015-12-06 18:37:25.560] [ERROR] company_id_error - name is :上海廖星贸易有限公司, company_id is null
[2015-12-06 18:37:25.629] [ERROR] company_id_error - name is :上海洪方贸易有限公司, company_id is null
[2015-12-06 18:37:25.633] [ERROR] company_id_error - name is :上海樊邦贸易有限公司, company_id is null
[2015-12-06 18:37:27.033] [ERROR] company_id_error - name is :上海烨充国际贸易有限公司, company_id is null
[2015-12-06 18:37:31.418] [ERROR] company_id_error - name is :上海锐胜贸易有限公司虹口分公司, company_id is null
[2015-12-06 18:37:31.586] [ERROR] company_id_error - name is :上海港硕国际贸易有限公司, company_id is null
[2015-12-06 18:37:31.902] [ERROR] company_id_error - name is :上海顼刚贸易有限公司, company_id is null
[2015-12-06 18:37:32.142] [ERROR] company_id_error - name is :上海子億贸易有限公司, company_id is null
[2015-12-06 18:37:33.097] [ERROR] company_id_error - name is :上海珩通贸易有限公司, company_id is null
[2015-12-06 18:37:33.225] [ERROR] company_id_error - name is :七原国际贸易（上海）有限公司, company_id is null
[2015-12-06 18:37:54.696] [ERROR] company_id_error - name is :艳青贸易（上海）有限公司, company_id is null
[2015-12-06 18:37:54.731] [ERROR] company_id_error - name is :上海周酒贸易有限公司, company_id is null
[2015-12-06 18:37:54.895] [ERROR] company_id_error - name is :上海意兮贸易有限公司, company_id is null
